2024-05-08 13:38:17.207536,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:17.238751,dwm.exe,414,6e8,11e8,49cf1febd8,1919ef409d0,7ffb62570f98,49cf1fea10
2024-05-08 13:38:17.270158,dwm.exe,414,6e8,11b1,49cf1feb38,1919f7c8cc0,49cf1feaa8,49cf1febb0
2024-05-08 13:38:17.301197,dwm.exe,414,6e8,11b7,49cf1feb58,1919f7c8cc0,0,49cf1febb0
2024-05-08 13:38:17.332509,dwm.exe,414,6e8,11e8,49cf1fea30,1919efe70c0,49cf1feaa8,49cf1febb0
2024-05-08 13:38:17.363919,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:17.394962,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff5e0,10
2024-05-08 13:38:17.426344,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:17.457411,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff4c0,10
2024-05-08 13:38:17.488968,dwm.exe,414,6e8,11e8,49cf1ff5c0,4000000000000000,0,0
2024-05-08 13:38:17.519981,dwm.exe,414,6e8,11e8,49cf1fdf40,40000680,0,0
2024-05-08 13:38:17.551213,dwm.exe,414,6e8,1224,49cf1fd4c0,7ffb5fb0b870,49cf1fd4c0,7ffb5fac2190
2024-05-08 13:38:17.582542,dwm.exe,414,6e8,11dd,49cf1f5110,40000000,49cf1f5110,1919efc2bb0
2024-05-08 13:38:17.613860,dwm.exe,414,6e8,5f,5,0,0,49cf1f5250
2024-05-08 13:38:17.645015,dwm.exe,414,6e8,11dd,49cf1f5110,40000000,49cf1f5110,1919efc2bb0
2024-05-08 13:38:17.676374,dwm.exe,414,6e8,11dd,49cf1fcc20,40000000,49cf1fcc20,1919efc2bb0
