2024-05-26 19:26:16.234012,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:16.265265,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:16.296507,MsMpEng.exe,e58,16c4,3f,36c,7ff784c3e000,1aaa7709ad0,1000
2024-05-26 19:26:16.327756,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:16.358939,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bd0,4
2024-05-26 19:26:16.390219,MsMpEng.exe,e58,16c4,3f,36c,7ff769099000,1aaa7744ad0,1000
2024-05-26 19:26:16.421489,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:16.452844,MsMpEng.exe,e58,16c4,12e,46597fdaa8,80000000,46597fda20,0
2024-05-26 19:26:16.483930,MsMpEng.exe,e58,16c4,12e,46597fdaa8,80000000,46597fda20,0
2024-05-26 19:26:16.515243,MsMpEng.exe,e58,16c4,25,fffffffffffffffe,19,46597f901c,4
2024-05-26 19:26:16.546451,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:16.577715,dwm.exe,434,6d0,172,45c,68dfbff190,1,68dfbff180
2024-05-26 19:26:16.608952,dwm.exe,434,6d0,5b,5,1a418c8cc00,1,0
2024-05-26 19:26:16.640212,MsMpEng.exe,e58,16c4,25,fffffffffffffffe,19,46597f83fc,4
2024-05-26 19:26:16.671408,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f83d0,4
2024-05-26 19:26:16.702668,lsass.exe,314,bd4,d,fffffffffffffffe,2c,cc9a4ff0b0,8
2024-05-26 19:26:16.733900,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:16.765184,MsMpEng.exe,e58,16c4,6,a48,0,0,0
2024-05-26 19:26:16.796368,MsMpEng.exe,e58,16c4,6,a48,0,0,0
2024-05-26 19:26:16.827642,MsMpEng.exe,e58,16c4,39,36c,0,0,0
2024-05-26 19:26:16.858869,MsMpEng.exe,e58,16c4,11,36c,46597fcf30,46597fcf80,18
2024-05-26 19:26:16.890137,MsMpEng.exe,e58,16c4,121,46597fd898,20019,46597fd8b8,0
2024-05-26 19:26:16.921370,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:16.952624,MsMpEng.exe,e58,16c4,147,46597fcf10,46597fcf40,a,0
2024-05-26 19:26:16.983858,services.exe,300,23f4,89,154,0,90b02ff798,10
2024-05-26 19:26:17.015059,MsMpEng.exe,e58,16c4,147,46597fce00,46597fce30,6,0
2024-05-26 19:26:17.046324,MsMpEng.exe,e58,16c4,17,74c,46597fd788,2,46597fd7a0
2024-05-26 19:26:17.077550,MsMpEng.exe,e58,16c4,147,46597fcf10,46597fcf40,c,0
2024-05-26 19:26:17.108840,MsMpEng.exe,e58,16c4,147,46597fcde0,46597fce10,c,0
2024-05-26 19:26:17.140052,services.exe,300,23f4,1a1,14,9,90b02ff6a8,4
2024-05-26 19:26:17.171261,services.exe,300,23f4,29,90b02fec28,1c2ef27c420,90b02fec18,90b02fec08
2024-05-26 19:26:17.202521,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,5,46597fd408,8
2024-05-26 19:26:17.233739,MsMpEng.exe,e58,16c4,147,46597fcf10,46597fcf40,0,0
2024-05-26 19:26:17.264980,MsMpEng.exe,e58,16c4,20,6fc,0,100,40
2024-05-26 19:26:17.296266,services.exe,300,23f4,1d5,14,1c2ef0af3d0,10,90b02ff9e8
2024-05-26 19:26:17.327483,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:17.358726,MsMpEng.exe,e58,16c4,147,46597fcf10,46597fcf40,6,0
2024-05-26 19:26:17.389962,MsMpEng.exe,e58,16c4,147,46597fce00,46597fce30,a,0
2024-05-26 19:26:17.421247,MsMpEng.exe,e58,16c4,147,46597fcdd0,46597fce00,1,0
2024-05-26 19:26:17.452488,MsMpEng.exe,e58,16c4,147,46597fcdf0,46597fce20,e,0
2024-05-26 19:26:17.483693,services.exe,300,23f4,d,fffffffffffffffe,2c,90b02ff4c0,8
