2024-04-18 07:29:47.460884,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:47.492056,soffice.bin,23a4,23a8,41000,9,766a6320,200206,766a10ec
2024-04-18 07:29:47.523253,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:47.554460,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:47.585946,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:47.617297,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 07:29:47.648568,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff900,10
2024-04-18 07:29:47.679677,dwm.exe,418,7b4,11e8,cbe3bff528,cbe3bff738,cbe3bff6f8,0
2024-04-18 07:29:47.710997,dwm.exe,418,7b4,1b1,2a4,0,cbe3bff5b0,30
2024-04-18 07:29:47.742128,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 07:29:47.773568,dwm.exe,418,7b4,111e,4,cbe3bff540,cbe3bff478,28d1f
2024-04-18 07:29:47.804649,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 07:29:47.835894,dwm.exe,418,7b4,1131,4,cbe3bff410,cbe3bff418,cbe3bffa30
2024-04-18 07:29:47.867276,dwm.exe,418,7cc,1d2,203e8eced08,0,cbe3cfea10,0
2024-04-18 07:29:47.898378,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 07:29:47.929421,Taskmgr.exe,1284,1630,1023,a0510ff,a,1,10ff
2024-04-18 07:29:47.960759,dwm.exe,418,7b4,5b,5,203e8ecdaf0,1,0
2024-04-18 07:29:47.991978,svchost.exe,478,4c4,1d5,1c,207500348f0,10,45461ff6c8
2024-04-18 07:29:48.023220,svchost.exe,478,97c,1c5,10,0,0,4546aff3d0
2024-04-18 07:29:48.054508,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff900,10
2024-04-18 07:29:48.085709,dwm.exe,418,7b4,11e8,cbe3bff528,cbe3bff738,cbe3bff6f8,0
